tag,mechanism,epsilon,seconds
baseline_train,,,1.666506
baseline_train,,,1.563294
baseline_train,,,1.542457
baseline_train,,,1.577454
baseline_train,,,1.545885
baseline_train,,,1.484581
baseline_train,,,1.547014
baseline_train,,,1.425589
baseline_train,,,1.650793
baseline_train,,,1.648679
dp_perturb,rr_dp,0.01,0.319100
dp_train,rr_dp,0.01,2.265942
dp_perturb,rr_dp,0.01,0.242742
dp_train,rr_dp,0.01,4.397379
dp_perturb,rr_dp,0.01,0.234270
dp_train,rr_dp,0.01,8.809082
dp_perturb,rr_dp,0.01,0.256994
dp_train,rr_dp,0.01,3.646482
dp_perturb,rr_dp,0.01,0.242552
dp_train,rr_dp,0.01,2.118026
dp_perturb,rr_dp,0.01,0.245732
dp_train,rr_dp,0.01,1.893733
dp_perturb,rr_dp,0.01,0.244366
dp_train,rr_dp,0.01,2.125179
dp_perturb,rr_dp,0.01,0.259655
dp_train,rr_dp,0.01,2.351443
dp_perturb,rr_dp,0.01,0.225848
dp_train,rr_dp,0.01,2.922513
dp_perturb,rr_dp,0.01,0.215586
dp_train,rr_dp,0.01,3.865862
dp_perturb,laplace_dp,0.01,0.431787
dp_train,laplace_dp,0.01,2.207399
dp_perturb,laplace_dp,0.01,0.473595
dp_train,laplace_dp,0.01,4.924179
dp_perturb,laplace_dp,0.01,0.528842
dp_train,laplace_dp,0.01,9.887321
dp_perturb,laplace_dp,0.01,0.469086
dp_train,laplace_dp,0.01,3.627425
dp_perturb,laplace_dp,0.01,0.436747
dp_train,laplace_dp,0.01,2.183968
dp_perturb,laplace_dp,0.01,0.432981
dp_train,laplace_dp,0.01,1.979575
dp_perturb,laplace_dp,0.01,0.446276
dp_train,laplace_dp,0.01,2.103506
dp_perturb,laplace_dp,0.01,0.438494
dp_train,laplace_dp,0.01,2.194032
dp_perturb,laplace_dp,0.01,0.456536
dp_train,laplace_dp,0.01,2.912399
dp_perturb,laplace_dp,0.01,0.468303
dp_train,laplace_dp,0.01,4.137389
dp_perturb,rr_dp,0.1,0.222177
dp_train,rr_dp,0.1,2.564058
dp_perturb,rr_dp,0.1,0.217813
dp_train,rr_dp,0.1,2.753192
dp_perturb,rr_dp,0.1,0.217308
dp_train,rr_dp,0.1,3.787486
dp_perturb,rr_dp,0.1,0.227239
dp_train,rr_dp,0.1,2.409802
dp_perturb,rr_dp,0.1,0.223344
dp_train,rr_dp,0.1,2.132102
dp_perturb,rr_dp,0.1,0.216547
dp_train,rr_dp,0.1,2.073578
dp_perturb,rr_dp,0.1,0.215380
dp_train,rr_dp,0.1,2.479544
dp_perturb,rr_dp,0.1,0.210172
dp_train,rr_dp,0.1,2.237697
dp_perturb,rr_dp,0.1,0.224210
dp_train,rr_dp,0.1,2.374586
dp_perturb,rr_dp,0.1,0.220463
dp_train,rr_dp,0.1,2.419445
dp_perturb,laplace_dp,0.1,0.459167
dp_train,laplace_dp,0.1,2.436835
dp_perturb,laplace_dp,0.1,0.443167
dp_train,laplace_dp,0.1,2.720787
dp_perturb,laplace_dp,0.1,0.452540
dp_train,laplace_dp,0.1,2.899808
dp_perturb,laplace_dp,0.1,0.445630
dp_train,laplace_dp,0.1,2.291950
dp_perturb,laplace_dp,0.1,0.452736
dp_train,laplace_dp,0.1,2.117016
dp_perturb,laplace_dp,0.1,0.441381
dp_train,laplace_dp,0.1,2.005463
dp_perturb,laplace_dp,0.1,0.438619
dp_train,laplace_dp,0.1,2.441514
dp_perturb,laplace_dp,0.1,0.429390
dp_train,laplace_dp,0.1,2.134226
dp_perturb,laplace_dp,0.1,0.434082
dp_train,laplace_dp,0.1,2.661687
dp_perturb,laplace_dp,0.1,0.431466
dp_train,laplace_dp,0.1,2.687300
dp_perturb,rr_dp,1.0,0.217627
dp_train,rr_dp,1.0,2.514855
dp_perturb,rr_dp,1.0,0.213497
dp_train,rr_dp,1.0,2.482914
dp_perturb,rr_dp,1.0,0.214610
dp_train,rr_dp,1.0,2.634584
dp_perturb,rr_dp,1.0,0.217986
dp_train,rr_dp,1.0,2.333252
dp_perturb,rr_dp,1.0,0.219549
dp_train,rr_dp,1.0,2.740688
dp_perturb,rr_dp,1.0,0.223744
dp_train,rr_dp,1.0,2.326472
dp_perturb,rr_dp,1.0,0.221312
dp_train,rr_dp,1.0,2.335763
dp_perturb,rr_dp,1.0,0.217936
dp_train,rr_dp,1.0,2.149370
dp_perturb,rr_dp,1.0,0.214696
dp_train,rr_dp,1.0,2.909246
dp_perturb,rr_dp,1.0,0.215736
dp_train,rr_dp,1.0,2.278219
dp_perturb,laplace_dp,1.0,0.437687
dp_train,laplace_dp,1.0,2.435506
dp_perturb,laplace_dp,1.0,0.440064
dp_train,laplace_dp,1.0,2.283567
dp_perturb,laplace_dp,1.0,0.465137
dp_train,laplace_dp,1.0,2.682838
dp_perturb,laplace_dp,1.0,0.436038
dp_train,laplace_dp,1.0,2.293349
dp_perturb,laplace_dp,1.0,0.441819
dp_train,laplace_dp,1.0,2.276088
dp_perturb,laplace_dp,1.0,0.439929
dp_train,laplace_dp,1.0,2.273057
dp_perturb,laplace_dp,1.0,0.440837
dp_train,laplace_dp,1.0,2.685195
dp_perturb,laplace_dp,1.0,0.444245
dp_train,laplace_dp,1.0,2.111409
dp_perturb,laplace_dp,1.0,0.450869
dp_train,laplace_dp,1.0,2.148382
dp_perturb,laplace_dp,1.0,0.431383
dp_train,laplace_dp,1.0,2.300211
dp_perturb,rr_dp,2.0,0.211427
dp_train,rr_dp,2.0,2.338703
dp_perturb,rr_dp,2.0,0.222362
dp_train,rr_dp,2.0,2.353053
dp_perturb,rr_dp,2.0,0.218308
dp_train,rr_dp,2.0,4.407853
dp_perturb,rr_dp,2.0,0.220335
dp_train,rr_dp,2.0,2.185380
dp_perturb,rr_dp,2.0,0.216018
dp_train,rr_dp,2.0,2.607214
dp_perturb,rr_dp,2.0,0.214350
dp_train,rr_dp,2.0,2.209603
dp_perturb,rr_dp,2.0,0.219748
dp_train,rr_dp,2.0,2.193363
dp_perturb,rr_dp,2.0,0.216549
dp_train,rr_dp,2.0,2.211028
dp_perturb,rr_dp,2.0,0.217897
dp_train,rr_dp,2.0,3.022521
dp_perturb,rr_dp,2.0,0.213233
dp_train,rr_dp,2.0,2.365752
dp_perturb,laplace_dp,2.0,0.436298
dp_train,laplace_dp,2.0,2.216043
dp_perturb,laplace_dp,2.0,0.443116
dp_train,laplace_dp,2.0,2.573526
dp_perturb,laplace_dp,2.0,0.441080
dp_train,laplace_dp,2.0,2.578381
dp_perturb,laplace_dp,2.0,0.443978
dp_train,laplace_dp,2.0,2.310851
dp_perturb,laplace_dp,2.0,0.445856
dp_train,laplace_dp,2.0,2.204867
dp_perturb,laplace_dp,2.0,0.430407
dp_train,laplace_dp,2.0,2.441232
dp_perturb,laplace_dp,2.0,0.436594
dp_train,laplace_dp,2.0,2.337606
dp_perturb,laplace_dp,2.0,0.448284
dp_train,laplace_dp,2.0,2.292690
dp_perturb,laplace_dp,2.0,0.437137
dp_train,laplace_dp,2.0,2.951491
dp_perturb,laplace_dp,2.0,0.446423
dp_train,laplace_dp,2.0,2.368378
