tag,mechanism,epsilon,seconds
baseline_train,,,0.686410
baseline_train,,,1.168240
baseline_train,,,1.035305
baseline_train,,,1.145730
baseline_train,,,1.769688
baseline_train,,,1.269562
baseline_train,,,1.672934
baseline_train,,,1.077484
baseline_train,,,0.986541
baseline_train,,,1.518782
dp_perturb,rr_dp,0.01,0.209290
dp_train,rr_dp,0.01,1.784904
dp_perturb,rr_dp,0.01,0.156128
dp_train,rr_dp,0.01,6.002866
dp_perturb,rr_dp,0.01,0.226610
dp_train,rr_dp,0.01,7.652474
dp_perturb,rr_dp,0.01,0.188379
dp_train,rr_dp,0.01,8.214216
dp_perturb,rr_dp,0.01,0.196702
dp_train,rr_dp,0.01,2.030162
dp_perturb,rr_dp,0.01,0.164544
dp_train,rr_dp,0.01,1.692662
dp_perturb,rr_dp,0.01,0.197312
dp_train,rr_dp,0.01,2.203954
dp_perturb,rr_dp,0.01,0.188337
dp_train,rr_dp,0.01,3.178402
dp_perturb,rr_dp,0.01,0.182049
dp_train,rr_dp,0.01,4.640135
dp_perturb,rr_dp,0.01,0.156098
dp_train,rr_dp,0.01,6.173793
dp_perturb,laplace_dp,0.01,0.307072
dp_train,laplace_dp,0.01,1.364273
dp_perturb,laplace_dp,0.01,0.339761
dp_train,laplace_dp,0.01,4.576262
dp_perturb,laplace_dp,0.01,0.510065
dp_train,laplace_dp,0.01,5.584541
dp_perturb,laplace_dp,0.01,0.347718
dp_train,laplace_dp,0.01,5.330641
dp_perturb,laplace_dp,0.01,0.312277
dp_train,laplace_dp,0.01,1.673308
dp_perturb,laplace_dp,0.01,0.301078
dp_train,laplace_dp,0.01,1.474032
dp_perturb,laplace_dp,0.01,0.300077
dp_train,laplace_dp,0.01,1.427131
dp_perturb,laplace_dp,0.01,0.308778
dp_train,laplace_dp,0.01,2.873602
dp_perturb,laplace_dp,0.01,0.317250
dp_train,laplace_dp,0.01,4.337174
dp_perturb,laplace_dp,0.01,0.329257
dp_train,laplace_dp,0.01,5.050743
dp_perturb,rr_dp,0.1,0.148963
dp_train,rr_dp,0.1,1.753468
dp_perturb,rr_dp,0.1,0.173969
dp_train,rr_dp,0.1,2.794894
dp_perturb,rr_dp,0.1,0.142182
dp_train,rr_dp,0.1,2.506457
dp_perturb,rr_dp,0.1,0.143494
dp_train,rr_dp,0.1,3.076404
dp_perturb,rr_dp,0.1,0.146124
dp_train,rr_dp,0.1,2.104262
dp_perturb,rr_dp,0.1,0.146440
dp_train,rr_dp,0.1,1.580224
dp_perturb,rr_dp,0.1,0.141672
dp_train,rr_dp,0.1,2.546310
dp_perturb,rr_dp,0.1,0.152465
dp_train,rr_dp,0.1,2.864826
dp_perturb,rr_dp,0.1,0.145556
dp_train,rr_dp,0.1,2.109067
dp_perturb,rr_dp,0.1,0.148909
