Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7026,0.2745,0.7024,0.2203,0.7028,0.3329,0.7028,0.3308,0.7782,0.1041,0.9907,0.7928
2,0.009901,0.7026,0.2776,0.7024,0.2250,0.7028,0.3347,0.7028,0.3320,0.7780,0.1064,0.9891,0.7617
3,0.009901,0.7025,0.2712,0.7023,0.2196,0.7028,0.3304,0.7028,0.3288,0.7786,0.1044,0.9903,0.7794
4,0.009901,0.7026,0.2773,0.7025,0.2291,0.7028,0.3325,0.7029,0.3308,0.7780,0.1021,0.9898,0.7743
5,0.009901,0.7025,0.2731,0.7023,0.2176,0.7028,0.3303,0.7028,0.3293,0.7778,0.1042,0.9902,0.7674
6,0.009901,0.7026,0.2793,0.7024,0.2250,0.7028,0.3337,0.7028,0.3304,0.7780,0.1062,0.9899,0.7647
7,0.009901,0.7026,0.2768,0.7024,0.2229,0.7028,0.3361,0.7028,0.3338,0.7783,0.1059,0.9911,0.7919
8,0.009901,0.7026,0.2779,0.7024,0.2236,0.7028,0.3321,0.7028,0.3287,0.7780,0.1065,0.9896,0.7715
9,0.009901,0.7026,0.2760,0.7024,0.2232,0.7028,0.3323,0.7028,0.3299,0.7785,0.1065,0.9922,0.8057
10,0.009901,0.7026,0.2749,0.7024,0.2213,0.7028,0.3288,0.7028,0.3266,0.7787,0.1043,0.9892,0.7522
