Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.6954,0.2625,0.6952,0.2106,0.6956,0.3176,0.6956,0.3144,0.7740,0.1024,0.9887,0.7661
2,0.009901,0.6955,0.2641,0.6953,0.2140,0.6957,0.3181,0.6957,0.3152,0.7738,0.1046,0.9865,0.7322
3,0.009901,0.6976,0.2635,0.6974,0.2144,0.6978,0.3186,0.6978,0.3166,0.7739,0.1026,0.9877,0.7527
4,0.009901,0.6989,0.2699,0.6987,0.2220,0.6991,0.3221,0.6991,0.3193,0.7746,0.1007,0.9881,0.7525
5,0.009901,0.6974,0.2667,0.6972,0.2114,0.6976,0.3192,0.6976,0.3163,0.7731,0.1026,0.9867,0.7176
6,0.009901,0.6970,0.2690,0.6968,0.2155,0.6972,0.3212,0.6972,0.3170,0.7744,0.1041,0.9876,0.7367
7,0.009901,0.6972,0.2672,0.6970,0.2148,0.6974,0.3231,0.6974,0.3199,0.7738,0.1047,0.9887,0.7643
8,0.009901,0.6971,0.2681,0.6969,0.2169,0.6973,0.3169,0.6973,0.3129,0.7730,0.1053,0.9853,0.7156
9,0.009901,0.6965,0.2661,0.6963,0.2130,0.6967,0.3183,0.6966,0.3150,0.7755,0.1050,0.9872,0.7391
10,0.009901,0.6974,0.2666,0.6972,0.2132,0.6976,0.3192,0.6976,0.3166,0.7748,0.1028,0.9873,0.7263
