Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5033,0.0100,0.6264,0.0158
2,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5100,0.0102,0.6345,0.0179
3,0.009901,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5002,0.0099,0.5140,0.0103,0.6369,0.0163
4,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5038,0.0101,0.6127,0.0152
5,0.009901,0.4996,0.0099,0.4996,0.0099,0.4996,0.0099,0.4996,0.0099,0.5180,0.0108,0.6350,0.0163
6,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5349,0.0110,0.6474,0.0172
7,0.009901,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.4997,0.0099,0.5066,0.0102,0.6300,0.0162
8,0.009901,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5004,0.0099,0.5106,0.0103,0.6353,0.0172
9,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5070,0.0101,0.6205,0.0155
10,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5029,0.0100,0.6236,0.0154
