Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7647,0.2792,0.7631,0.1644,0.7658,0.3929,0.7658,0.3897,0.7908,0.0723,0.9750,0.6006
2,0.009901,0.7646,0.2794,0.7631,0.1660,0.7657,0.3930,0.7657,0.3902,0.7902,0.0729,0.9776,0.6338
3,0.009901,0.7647,0.2832,0.7632,0.1674,0.7658,0.3980,0.7658,0.3944,0.7904,0.0755,0.9755,0.6115
4,0.009901,0.7647,0.2805,0.7632,0.1692,0.7658,0.3983,0.7658,0.3961,0.7907,0.0720,0.9788,0.6530
5,0.009901,0.7646,0.2796,0.7631,0.1649,0.7658,0.3955,0.7658,0.3925,0.7906,0.0736,0.9748,0.6094
6,0.009901,0.7646,0.2796,0.7631,0.1652,0.7658,0.3975,0.7658,0.3958,0.7911,0.0733,0.9707,0.5516
7,0.009901,0.7647,0.2792,0.7633,0.1694,0.7659,0.3952,0.7659,0.3934,0.7909,0.0742,0.9746,0.5934
8,0.009901,0.7647,0.2787,0.7632,0.1668,0.7658,0.3945,0.7658,0.3921,0.7906,0.0728,0.9703,0.5530
9,0.009901,0.7646,0.2785,0.7631,0.1655,0.7657,0.3917,0.7657,0.3884,0.7910,0.0733,0.9783,0.6525
10,0.009901,0.7647,0.2803,0.7632,0.1679,0.7658,0.3940,0.7658,0.3912,0.7909,0.0739,0.9758,0.6198
