Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7617,0.2758,0.7603,0.1644,0.7628,0.3862,0.7628,0.3823,0.7886,0.0717,0.9742,0.5957
2,0.009901,0.7613,0.2730,0.7598,0.1627,0.7624,0.3848,0.7624,0.3813,0.7875,0.0724,0.9755,0.6042
3,0.009901,0.7613,0.2782,0.7598,0.1644,0.7624,0.3897,0.7624,0.3854,0.7886,0.0752,0.9740,0.5976
4,0.009901,0.7637,0.2791,0.7622,0.1696,0.7648,0.3942,0.7648,0.3913,0.7895,0.0716,0.9779,0.6395
5,0.009901,0.7598,0.2723,0.7583,0.1608,0.7609,0.3856,0.7609,0.3820,0.7890,0.0731,0.9734,0.5891
6,0.009901,0.7615,0.2729,0.7600,0.1631,0.7626,0.3893,0.7626,0.3877,0.7891,0.0729,0.9689,0.5342
7,0.009901,0.7604,0.2738,0.7590,0.1666,0.7615,0.3877,0.7615,0.3854,0.7885,0.0739,0.9734,0.5791
8,0.009901,0.7628,0.2764,0.7613,0.1662,0.7638,0.3889,0.7638,0.3859,0.7887,0.0723,0.9658,0.5227
9,0.009901,0.7594,0.2694,0.7580,0.1613,0.7605,0.3800,0.7605,0.3766,0.7892,0.0728,0.9768,0.6315
10,0.009901,0.7596,0.2743,0.7582,0.1658,0.7607,0.3836,0.7607,0.3799,0.7894,0.0732,0.9757,0.6211
