Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7641,0.2786,0.7626,0.1640,0.7652,0.3923,0.7652,0.3890,0.7906,0.0723,0.9688,0.5348
2,0.009901,0.7646,0.2791,0.7631,0.1662,0.7657,0.3925,0.7657,0.3897,0.7902,0.0729,0.9764,0.6189
3,0.009901,0.7647,0.2832,0.7632,0.1673,0.7658,0.3979,0.7658,0.3943,0.7904,0.0755,0.9754,0.6108
4,0.009901,0.7646,0.2803,0.7631,0.1691,0.7657,0.3980,0.7657,0.3959,0.7906,0.0720,0.9788,0.6524
5,0.009901,0.7646,0.2798,0.7631,0.1649,0.7658,0.3958,0.7658,0.3928,0.7905,0.0736,0.9747,0.6083
6,0.009901,0.7639,0.2773,0.7624,0.1640,0.7650,0.3954,0.7650,0.3938,0.7909,0.0733,0.9706,0.5509
7,0.009901,0.7644,0.2785,0.7630,0.1694,0.7656,0.3940,0.7656,0.3920,0.7906,0.0742,0.9745,0.5935
8,0.009901,0.7646,0.2782,0.7631,0.1665,0.7657,0.3941,0.7657,0.3917,0.7906,0.0728,0.9704,0.5541
9,0.009901,0.7642,0.2782,0.7627,0.1653,0.7653,0.3911,0.7653,0.3877,0.7908,0.0733,0.9782,0.6517
10,0.009901,0.7645,0.2800,0.7630,0.1677,0.7656,0.3934,0.7656,0.3906,0.7909,0.0738,0.9758,0.6187
