Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7144,0.1884,0.7117,0.0693,0.7152,0.2459,0.7152,0.2365,0.8774,0.0893,0.8505,0.1276
2,0.009901,0.7142,0.1865,0.7114,0.0682,0.7150,0.2438,0.7151,0.2347,0.8779,0.0906,0.8479,0.1296
3,0.009901,0.7143,0.1882,0.7115,0.0686,0.7151,0.2468,0.7152,0.2382,0.8782,0.0914,0.8449,0.1043
4,0.009901,0.7142,0.1862,0.7115,0.0685,0.7151,0.2445,0.7151,0.2374,0.8778,0.0912,0.8474,0.1012
5,0.009901,0.7142,0.1849,0.7114,0.0681,0.7151,0.2433,0.7151,0.2355,0.8777,0.0920,0.8463,0.1029
6,0.009901,0.7144,0.1863,0.7117,0.0700,0.7153,0.2448,0.7153,0.2377,0.8778,0.0918,0.8398,0.0921
7,0.009901,0.7144,0.1871,0.7117,0.0697,0.7152,0.2453,0.7153,0.2377,0.8776,0.0918,0.8529,0.1149
8,0.009901,0.7143,0.1869,0.7116,0.0692,0.7152,0.2430,0.7152,0.2336,0.8780,0.0916,0.8362,0.0953
9,0.009901,0.7142,0.1851,0.7114,0.0680,0.7151,0.2428,0.7151,0.2349,0.8774,0.0908,0.8456,0.1192
10,0.009901,0.7142,0.1836,0.7115,0.0688,0.7151,0.2410,0.7151,0.2335,0.8776,0.0924,0.8463,0.1077
