Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7073,0.1828,0.7048,0.0671,0.7081,0.2351,0.7081,0.2223,0.8732,0.0889,0.8485,0.1232
2,0.009901,0.7086,0.1774,0.7060,0.0668,0.7094,0.2307,0.7094,0.2192,0.8721,0.0904,0.8365,0.0901
3,0.009901,0.7087,0.1813,0.7061,0.0671,0.7095,0.2351,0.7095,0.2240,0.8726,0.0907,0.8382,0.1014
4,0.009901,0.7094,0.1799,0.7069,0.0681,0.7102,0.2346,0.7102,0.2252,0.8733,0.0904,0.8460,0.1232
5,0.009901,0.7091,0.1804,0.7066,0.0679,0.7100,0.2354,0.7100,0.2249,0.8716,0.0913,0.8391,0.1174
6,0.009901,0.7076,0.1805,0.7051,0.0683,0.7084,0.2352,0.7084,0.2254,0.8721,0.0915,0.8413,0.0986
7,0.009901,0.7069,0.1768,0.7045,0.0676,0.7077,0.2295,0.7077,0.2188,0.8719,0.0911,0.8479,0.1041
8,0.009901,0.7064,0.1786,0.7039,0.0664,0.7072,0.2307,0.7072,0.2185,0.8739,0.0907,0.8274,0.1084
9,0.009901,0.7065,0.1768,0.7039,0.0653,0.7073,0.2301,0.7073,0.2195,0.8719,0.0902,0.8396,0.1125
10,0.009901,0.7087,0.1787,0.7061,0.0673,0.7095,0.2318,0.7095,0.2215,0.8724,0.0915,0.8164,0.1427
