Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.5009,0.0099,0.5009,0.0099,0.5009,0.0099,0.5009,0.0099,0.5365,0.0110,0.5506,0.0115
2,0.009901,0.5008,0.0099,0.5008,0.0099,0.5008,0.0099,0.5008,0.0099,0.5117,0.0105,0.5389,0.0111
3,0.009901,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5192,0.0105,0.5469,0.0115
4,0.009901,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5003,0.0099,0.5195,0.0106,0.5464,0.0114
5,0.009901,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5006,0.0099,0.5234,0.0107,0.5392,0.0112
6,0.009901,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5000,0.0099,0.5016,0.0100,0.5395,0.0112
7,0.009901,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.4999,0.0099,0.5287,0.0111,0.5479,0.0119
8,0.009901,0.4995,0.0099,0.4995,0.0099,0.4995,0.0099,0.4995,0.0099,0.5271,0.0106,0.5351,0.0109
9,0.009901,0.5014,0.0099,0.5014,0.0099,0.5014,0.0100,0.5014,0.0100,0.5056,0.0102,0.5482,0.0114
10,0.009901,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5005,0.0099,0.5233,0.0109,0.5297,0.0112
