tag,mechanism,epsilon,seconds
baseline_train,,,7.019574
baseline_train,,,7.622434
baseline_train,,,6.767443
baseline_train,,,6.839368
baseline_train,,,7.137496
baseline_train,,,7.168937
baseline_train,,,7.085354
baseline_train,,,7.130195
baseline_train,,,6.837585
baseline_train,,,7.136610
dp_perturb,rr_dp,0.01,16.309158
dp_train,rr_dp,0.01,9.872585
dp_perturb,rr_dp,0.01,13.762846
dp_train,rr_dp,0.01,6.943910
dp_perturb,rr_dp,0.01,12.648866
dp_train,rr_dp,0.01,10.393380
dp_perturb,rr_dp,0.01,13.092544
dp_train,rr_dp,0.01,15.506787
dp_perturb,rr_dp,0.01,13.558492
dp_train,rr_dp,0.01,9.586905
dp_perturb,rr_dp,0.01,13.816660
dp_train,rr_dp,0.01,8.627114
dp_perturb,rr_dp,0.01,12.514642
dp_train,rr_dp,0.01,11.742199
dp_perturb,rr_dp,0.01,12.434538
dp_train,rr_dp,0.01,13.339938
dp_perturb,rr_dp,0.01,12.421173
dp_train,rr_dp,0.01,14.495383
dp_perturb,rr_dp,0.01,12.039589
dp_train,rr_dp,0.01,17.051646
dp_perturb,laplace_dp,0.01,21.456364
dp_train,laplace_dp,0.01,10.010407
dp_perturb,laplace_dp,0.01,23.453778
dp_train,laplace_dp,0.01,15.073719
dp_perturb,laplace_dp,0.01,23.613585
dp_train,laplace_dp,0.01,10.433567
dp_perturb,laplace_dp,0.01,22.300986
dp_train,laplace_dp,0.01,15.069242
dp_perturb,laplace_dp,0.01,22.893305
dp_train,laplace_dp,0.01,9.561419
dp_perturb,laplace_dp,0.01,23.592937
dp_train,laplace_dp,0.01,8.860160
dp_perturb,laplace_dp,0.01,22.214599
dp_train,laplace_dp,0.01,11.780322
dp_perturb,laplace_dp,0.01,23.683603
dp_train,laplace_dp,0.01,13.807120
dp_perturb,laplace_dp,0.01,21.518577
dp_train,laplace_dp,0.01,14.981817
dp_perturb,laplace_dp,0.01,22.877119
dp_train,laplace_dp,0.01,18.370864
dp_perturb,rr_dp,0.1,15.943647
dp_train,rr_dp,0.1,14.533353
dp_perturb,rr_dp,0.1,14.895132
dp_train,rr_dp,0.1,13.340251
dp_perturb,rr_dp,0.1,14.276335
dp_train,rr_dp,0.1,14.140432
dp_perturb,rr_dp,0.1,12.150560
dp_train,rr_dp,0.1,12.259802
dp_perturb,rr_dp,0.1,12.077371
dp_train,rr_dp,0.1,11.520365
dp_perturb,rr_dp,0.1,12.987194
dp_train,rr_dp,0.1,14.057934
dp_perturb,rr_dp,0.1,14.271229
dp_train,rr_dp,0.1,13.267433
dp_perturb,rr_dp,0.1,11.999792
dp_train,rr_dp,0.1,12.925618
dp_perturb,rr_dp,0.1,12.304578
dp_train,rr_dp,0.1,11.635141
dp_perturb,rr_dp,0.1,12.977434
dp_train,rr_dp,0.1,17.972853
dp_perturb,laplace_dp,0.1,23.178688
dp_train,laplace_dp,0.1,12.984752
dp_perturb,laplace_dp,0.1,21.964070
dp_train,laplace_dp,0.1,13.004808
dp_perturb,laplace_dp,0.1,22.090583
dp_train,laplace_dp,0.1,5.978944
dp_perturb,laplace_dp,0.1,21.983432
dp_train,laplace_dp,0.1,14.856291
dp_perturb,laplace_dp,0.1,23.854365
dp_train,laplace_dp,0.1,12.086219
dp_perturb,laplace_dp,0.1,22.547438
dp_train,laplace_dp,0.1,12.629448
dp_perturb,laplace_dp,0.1,22.799088
dp_train,laplace_dp,0.1,12.818180
dp_perturb,laplace_dp,0.1,22.084497
dp_train,laplace_dp,0.1,13.842993
dp_perturb,laplace_dp,0.1,21.639883
dp_train,laplace_dp,0.1,14.537064
dp_perturb,laplace_dp,0.1,24.278634
dp_train,laplace_dp,0.1,14.651037
dp_perturb,rr_dp,1.0,15.783235
dp_train,rr_dp,1.0,11.160083
dp_perturb,rr_dp,1.0,12.058093
dp_train,rr_dp,1.0,5.969370
dp_perturb,rr_dp,1.0,11.517565
dp_train,rr_dp,1.0,13.670553
dp_perturb,rr_dp,1.0,12.169412
dp_train,rr_dp,1.0,12.629004
dp_perturb,rr_dp,1.0,11.620811
dp_train,rr_dp,1.0,10.976981
dp_perturb,rr_dp,1.0,11.946435
dp_train,rr_dp,1.0,16.153670
dp_perturb,rr_dp,1.0,11.659471
dp_train,rr_dp,1.0,12.783096
dp_perturb,rr_dp,1.0,11.929644
dp_train,rr_dp,1.0,11.681079
dp_perturb,rr_dp,1.0,12.112579
dp_train,rr_dp,1.0,15.043540
dp_perturb,rr_dp,1.0,11.554710
dp_train,rr_dp,1.0,12.986046
dp_perturb,laplace_dp,1.0,22.100756
dp_train,laplace_dp,1.0,11.032842
dp_perturb,laplace_dp,1.0,20.332045
dp_train,laplace_dp,1.0,5.906595
dp_perturb,laplace_dp,1.0,21.018795
dp_train,laplace_dp,1.0,5.406739
dp_perturb,laplace_dp,1.0,21.761138
dp_train,laplace_dp,1.0,14.167630
dp_perturb,laplace_dp,1.0,21.748050
dp_train,laplace_dp,1.0,12.002065
